CTTphi1,CTTphi2,CTTphi3,CFAphi1,CFAphi2,CFAphi3,PCMphi1,PCMphi2,PCMphi3,GPCMphi1,GPCMphi2,GPCMphi3,CTTkappa1,CTTkappa2,CTTkappa3,CFAkappa1,CFAkappa2,CFAkappa3,PCMkappa1,PCMkappa2,PCMkappa3,GPCMkappa1,GPCMkappa2,GPCMkappa3,CTTtypeone1,CTTtypeone2,CTTtypeone3,CFAtypeone1,CFAtypeone2,CFAtypeone3,PCMtypeone1,PCMtypeone2,PCMtypeone3,GPCMtypeone1,GPCMtypeone2,GPCMtypeone3,CTTtypetwo1,CTTtypetwo2,CTTtypetwo3,CFAtypetwo1,CFAtypetwo2,CFAtypetwo3,PCMtypetwo1,PCMtypetwo2,PCMtypetwo3,GPCMtypetwo1,GPCMtypetwo2,GPCMtypetwo3
0.606364146,0.68432423,0.729567227,0.593754902,0.675332633,0.723352941,0.595102241,0.676716387,0.723251401,0.594109944,0.675661064,0.723628852,0.598683362,0.679995377,0.726670262,0.591967969,0.675319827,0.723818745,0.592535746,0.675855905,0.722958317,0.592326933,0.67567327,0.724095196,0.0309581232,0.0409554155,0.0468380952,0.0225027077,0.0301560224,0.0357656863,0.0249276377,0.0336975724,0.0387935574,0.022459197,0.0301262372,0.0357410831,0.014938282,0.0224975724,0.0277535481,0.0189348273,0.0288455182,0.0351923903,0.017886788,0.026877591,0.0335056956,0.0189246032,0.0288125584,0.0351513539
0.606146667,0.68413614,0.729424561,0.593496842,0.675141754,0.723184561,0.594856842,0.676526316,0.723098246,0.593861053,0.675463158,0.723458947,0.598451489,0.679801224,0.726522584,0.59170877,0.675129078,0.723652309,0.59228461,0.675665802,0.722805287,0.592077353,0.675475467,0.723927141,0.030986386,0.0409873216,0.0468717193,0.0225215906,0.0301751579,0.0357880702,0.0249475556,0.0337193918,0.0388172632,0.0224775673,0.0301460117,0.0357636959,0.0149450292,0.0225092865,0.0277652398,0.0189461988,0.0288618947,0.0352135673,0.0178977778,0.0268930526,0.0335237427,0.0189355322,0.0288295673,0.0351727251
0.605914909,0.683975387,0.729288326,0.593240506,0.67495218,0.72302602,0.594601969,0.676350211,0.722958509,0.593612518,0.675276371,0.723300281,0.598209408,0.679633772,0.726382357,0.591452255,0.674937523,0.723490487,0.592028411,0.675489758,0.722662442,0.591827323,0.675287769,0.723765899,0.0310146273,0.0410189405,0.0469016878,0.0225392874,0.0301943741,0.0358092827,0.0249689639,0.0337398969,0.0388392405,0.0224948898,0.0301648851,0.035784857,0.0149509611,0.022517112,0.0277768401,0.0189563526,0.0288783404,0.0352335677,0.0179065635,0.0269073136,0.0335396156,0.0189453821,0.0288456634,0.0351926395
0.605799154,0.683911205,0.729196617,0.593107118,0.674860465,0.722914729,0.59448203,0.676272727,0.722865398,0.593477801,0.675187456,0.723190275,0.598086284,0.679562995,0.726286494,0.591317177,0.674843298,0.723378042,0.59190261,0.675410688,0.722568936,0.591691083,0.675195328,0.72365477,0.0310302091,0.0410361287,0.0469255814,0.022551891,0.0302048391,0.0358245713,0.0249841673,0.0337522199,0.0388551092,0.0225074935,0.0301751938,0.0358,0.0149556025,0.0225194268,0.0277836035,0.0189613813,0.028886023,0.0352476392,0.0179101245,0.0269123326,0.0335497299,0.0189504816,0.028853183,0.0352065304
0.605680085,0.683850989,0.729147599,0.592981638,0.674764831,0.722843927,0.594349576,0.676202684,0.722807203,0.593350989,0.675086864,0.723120056,0.597957656,0.679495,0.726233773,0.59118876,0.674747627,0.7233071,0.591765771,0.675337774,0.722511558,0.591560485,0.675095695,0.723584414,0.0310493409,0.0410592279,0.0469446328,0.0225646422,0.0302154426,0.0358347928,0.0249981168,0.0337648305,0.0388658192,0.0225202919,0.0301861582,0.0358101695,0.0149594633,0.0225177024,0.0277845574,0.0189665254,0.0288938324,0.0352566384,0.0179158663,0.0269162429,0.0335559793,0.0189557439,0.0288613465,0.0352154426
0.605617127,0.683775655,0.729093418,0.592915074,0.674658174,0.722794763,0.594255485,0.676128804,0.722748762,0.593290163,0.674987969,0.723071479,0.597884131,0.679414282,0.726176177,0.591119013,0.674638968,0.723255522,0.59166758,0.675262826,0.722451278,0.59149727,0.674997211,0.723533425,0.0310617598,0.0410773296,0.0469624912,0.0225732012,0.0302272234,0.0358418023,0.0250095777,0.0337748054,0.0388769993,0.0225284737,0.0301970276,0.0358171267,0.014960368,0.0225210663,0.0277860816,0.0189674452,0.0289028073,0.0352624204,0.0179179523,0.0269221515,0.0335612644,0.0189563576,0.0288694032,0.0352211371
0.60571773,0.683880142,0.72921844,0.592970922,0.674721277,0.722902837,0.594366667,0.676232624,0.72287305,0.593351064,0.675051064,0.723178723,0.597991402,0.679520777,0.726300287,0.591169537,0.674699364,0.723367534,0.591776475,0.675367105,0.722575557,0.591552623,0.67505837,0.723644111,0.0310489835,0.0410634515,0.046944208,0.0225760284,0.0302237352,0.0358283215,0.0250098345,0.033767896,0.0388608038,0.0225312057,0.0301934752,0.0358037825,0.0149594799,0.0225140426,0.027772104,0.0189639243,0.0288965957,0.0352478014,0.0179115366,0.0269117258,0.0335457683,0.0189525296,0.0288631206,0.0352067139
0.60584435,0.683992893,0.729328358,0.593093106,0.674842217,0.722998579,0.59449538,0.67636887,0.722982942,0.593472637,0.67516489,0.723278607,0.598114878,0.679635661,0.726409563,0.591287873,0.67481924,0.723463761,0.59189935,0.67550105,0.722685167,0.591669873,0.675170807,0.723743108,0.031043402,0.0410485193,0.0469263208,0.0225755508,0.0302146885,0.0358171523,0.0250065861,0.0337554608,0.0388462923,0.0225309168,0.0301849325,0.0357922767,0.0149548448,0.022506752,0.0277612414,0.0189580194,0.0288851457,0.0352355366,0.0179063729,0.0269000237,0.0335328595,0.0189466003,0.028852452,0.0351940772
0.605976496,0.684081197,0.729461538,0.593175926,0.674915954,0.723100427,0.594613248,0.676442308,0.723100427,0.593566952,0.67524359,0.723378917,0.598250973,0.679723537,0.726542519,0.591364096,0.674891587,0.723567837,0.592014184,0.675572572,0.722805402,0.591757102,0.675245959,0.723846287,0.0310282526,0.0410407882,0.0469046534,0.0225753561,0.030210019,0.0358039411,0.0250013295,0.0337489554,0.0388284425,0.0225303419,0.0301801994,0.0357790123,0.0149503324,0.0224992877,0.0277462013,0.0189523742,0.0288779202,0.0352213675,0.017899905,0.0268939696,0.0335181861,0.0189403609,0.0288448718,0.0351801045
0.605625268,0.683783726,0.729216274,0.59281656,0.674592434,0.722841542,0.59424768,0.676127766,0.722843683,0.593209136,0.67491863,0.723119914,0.597885031,0.679419918,0.726291073,0.591003511,0.674569759,0.723302395,0.591642208,0.675258755,0.722545253,0.591397358,0.674922775,0.723581441,0.0310674756,0.0410886985,0.0469564597,0.0225989531,0.0302410183,0.0358388294,0.0250302165,0.033784868,0.0388673329,0.0225538425,0.0302113252,0.0358138473,0.0149608375,0.0225172972,0.027767547,0.0189682132,0.0289060671,0.0352550083,0.0179144421,0.0269188199,0.0335485606,0.0189561742,0.0288731382,0.0352136569
